filepath,author,comment,replies,anchor,created
IMAGERY_TRIAGE.xlsx,,(no comment),,,
manifest.jsonl,,(no comment),,,
13-milan-english-speaker-city/milan-como-weekend-kitchen.jpg,michael singleton,"lovely, again feels like lugano",,"[null,[null,[0.14407777917135425,0.4144222415291051,0.7890573804186163,0.9357080799304952]],null,""0B4FkjOvGXGNBRG9YeGx4c2ZjbDRLYXNtQm9CSWdpYTV5dFVNPQ""]",2026-05-05T20:17:52.942Z
13-milan-english-speaker-city/milan-dressing-room-italian-light.jpg,michael singleton,"seems like a shop, sure",,"[null,[null,[0.17535605414822816,0.3344917463075586,0.8052357985101029,0.833188531711555]],null,""0B4FkjOvGXGNBN0ZWVFpmNDhLT0tibGp4UzlqWFU5MXpyRjRnPQ""]",2026-05-05T20:17:43.359Z
13-milan-english-speaker-city/milan-walnut-library-como-view.jpg,michael singleton,perfect but feels lugao,,"[null,[null,[0.38168023267652745,0.4422241529105126,0.8336229316440582,0.9860990443092963]],null,""0B4FkjOvGXGNBSElhWWpvWnZ0MnZoMmhocjQwdHlqS0xhVzNFPQ""]",2026-05-05T20:17:18.701Z
13-milan-english-speaker-city/milan-tea-on-marble.jpg,michael singleton,someone's eating for 0.25 people this morning huh,,"[null,[null,[0.14031277150304083,0.31711555169417893,0.9013900955690703,0.8748913987836663]],null,""0B4FkjOvGXGNBbnBnZmJwRTdKQ0szUzhHZXVzbGtYVzF6VmxrPQ""]",2026-05-05T20:17:11.307Z
13-milan-english-speaker-city/milan-mayfair-coded-study.jpg,michael singleton,lovely,,"[null,[null,[0.20675766931568096,0.3258036490008688,0.7373917062716435,0.840139009556907]],null,""0B4FkjOvGXGNBdmpOaEFhWEUxeUNYSTkreENiQjByNmhPMlo0PQ""]",2026-05-05T20:16:44.537Z
13-milan-english-speaker-city/milan-english-kitchen-italian-window.jpg,michael singleton,weird milk jug thing,,"[null,[null,[0.18722022741531827,0.49609035621198955,0.8127857269527966,0.9756733275412683]],null,""0B4FkjOvGXGNBSVIyUFBiTm9qZDRkZHRvNEhqOTd5Q0I2RC9NPQ""]",2026-05-05T20:16:37.415Z
13-milan-english-speaker-city/milan-navigli-first-light.jpg,michael singleton,nice if it's accurate,,"[null,[null,[0.39794303797468356,0.2421945637432188,0.689873417721519,0.7718057753164557]],null,""0B4FkjOvGXGNBMmREb2F2dXpFZEJGUzRTdm5yeHVLa2FKL2VFPQ""]",2026-05-05T20:16:21.831Z
13-milan-english-speaker-city/milan-quadrilatero-dusk.jpg,michael singleton,car feels out of place,,"[null,[null,[0.14940496142604762,0.2893136403127715,0.5402481109623456,0.7428323197219808]],null,""0B4FkjOvGXGNBOVArR2pUaDA5TVZhenJ6MmhBaUJQc29ORjdJPQ""]",2026-05-05T20:16:02.585Z
13-milan-english-speaker-city/milan-lake-como-villa-terrace.jpg,michael singleton,nice,,"[null,[null,[0.4320536211998141,0.3414422241529105,0.9713342242493643,0.894005212858384]],null,""0B4FkjOvGXGNBTi8rbWJhb1NCWnlwM0lTS0kzbkVmRXJ6UWRFPQ""]",2026-05-05T20:15:53.464Z
13-milan-english-speaker-city/milan-palazzo-courtyard.jpg,michael singleton,gorgeous,,"[null,[null,[0.3289431383515934,0.32232841007819285,0.7385553774053188,0.7741094700260642]],null,""0B4FkjOvGXGNBVlF5bzdkMlhLMUFXU1lLL09KZTBCY2pxVzM0PQ""]",2026-05-05T20:15:48.226Z
13-milan-english-speaker-city/milan-brera-arcade-morning.jpg,michael singleton,is this how their doors look?,,"[null,[null,[0.42823227033841904,0.26498696785403997,0.6794193068890424,0.6733275412684622]],null,""0B4FkjOvGXGNBdGRhemNvVEsydWgxa3hTdmRHTllYWHFKZUxnPQ""]",2026-05-05T20:15:39.172Z
13-milan-english-speaker-city/milan-linate-fbo-first-light.jpg,michael singleton,is this a real place?,,"[null,[null,[0.5134493670886076,0.39511047694394213,0.7136075949367088,0.7997781984629295]],null,""0B4FkjOvGXGNBYktpSzFkQjV6NzNoaFVhMCtwT0ROckVxVUxRPQ""]",2026-05-05T20:15:27.231Z
